CODE_ZIP,AMT_NET_INCOME,AMT_REQUESTED_TICKET,TEXT_BANK,NUM_AGE,TEXT_GENDER,NFLAG_MOBILEDEVICE,CODE_IP_1,NUM_LEVEN_EMAIL,NFLAG_EMAIL_NUMERAL,CNT_REJECTED,NUM_DAYS_CREDIT_HISTORY,TARGET
27711,40000,10000.0000,"MONETA Money Bank, a.s.",44,Muž,0,86,88,0,1,2950,0
37701,20000,4000.0000,Air Bank a.s.,20,Muž,0,86,70,0,1,200,0
53401,34000,10000.0000,"Československá obchodní banka, a.s.",40,Muž,0,195,94,0,1,3700,0
78701,19000,7000.0000,Equa bank a.s.,50,Žena,1,37,75,1,1,4350,0
60200,25000,2000.0000,"MONETA Money Bank, a.s.",37,Muž,1,109,90,0,1,0,0
41201,6000,3000.0000,"Komerční banka, a.s.",20,Muž,0,193,93,0,1,150,0
56943,35000,5000.0000,Air Bank a.s.,33,Muž,1,37,88,0,1,2200,0
79601,15000,7000.0000,Air Bank a.s.,20,Žena,1,37,94,1,2,300,0
70030,38000,10000.0000,"MONETA Money Bank, a.s.",37,Muž,1,193,38,0,1,1900,0
76502,27000,10000.0000,"Česká spořitelna, a.s.",35,Muž,1,188,91,0,1,1000,0
37001,13000,8000.0000,"Československá obchodní banka, a.s.",20,Muž,0,178,70,0,5,0,0
70030,13000,5000.0000,Air Bank a.s.,18,Muž,1,213,55,0,1,0,0
79001,10000,3000.0000,"Československá obchodní banka, a.s.",20,Muž,1,77,25,0,1,0,1
28522,19000,5000.0000,"Komerční banka, a.s.",39,Žena,0,193,23,1,1,950,0
27735,39000,10000.0000,Equa bank a.s.,42,Žena,0,98,60,0,1,1500,0
27101,27000,10000.0000,"Česká spořitelna, a.s.",32,Muž,1,46,17,0,1,950,0
30100,26000,10000.0000,Raiffeisenbank a.s.,43,Muž,1,194,90,0,1,1450,0
58601,29650,8000.0000,"MONETA Money Bank, a.s.",47,Žena,1,46,22,0,1,3900,0
27041,17000,7000.0000,Equa bank a.s.,27,Žena,0,185,95,0,1,1200,0
73301,15000,5000.0000,"UniCredit Bank Czech Republic and Slovakia, a.s.",19,Muž,1,185,36,1,0,0,0
40502,14500,10000.0000,"UniCredit Bank Czech Republic and Slovakia, a.s.",23,Muž,1,37,84,1,1,1250,0
67162,24000,8000.0000,Air Bank a.s.,22,Muž,1,77,17,0,1,350,1
79824,21500,10000.0000,"Komerční banka, a.s.",26,Muž,0,185,85,1,0,2100,1
75352,32000,5000.0000,"Komerční banka, a.s.",27,Muž,1,89,10,0,1,1650,0
47167,11000,1000.0000,"Fio banka, a.s.",21,Muž,1,46,94,0,1,0,0
74235,30000,10000.0000,Equa bank a.s.,20,Muž,1,89,84,1,1,450,0
70800,25000,10000.0000,"Fio banka, a.s.",54,Muž,0,90,88,0,1,1400,0
58601,28000,4000.0000,"Komerční banka, a.s.",26,Žena,1,95,32,1,1,200,0
63400,25000,5000.0000,"Česká spořitelna, a.s.",44,Muž,0,147,86,0,1,5000,0
69614,25000,10000.0000,,43,Žena,1,77,15,1,1,1100,1
16000,20000,4000.0000,Raiffeisenbank a.s.,29,Muž,1,89,93,0,1,0,0
25601,10700,5000.0000,"Česká spořitelna, a.s.",23,Žena,1,46,31,0,0,0,1
53972,20000,10000.0000,"MONETA Money Bank, a.s.",24,Muž,0,46,92,1,0,1050,0
53009,29000,3000.0000,Air Bank a.s.,23,Muž,1,46,14,1,1,1250,0
79900,26000,10000.0000,"Sberbank CZ, a.s.",26,Muž,1,37,82,0,1,2100,0
73801,36000,3000.0000,"MONETA Money Bank, a.s.",35,Žena,1,93,20,1,4,2350,0
38701,19500,10000.0000,"Česká spořitelna, a.s.",58,Muž,0,178,92,0,1,6750,0
25070,16113,10000.0000,"Česká spořitelna, a.s.",75,Muž,0,93,73,1,1,43550,0
37501,50000,4000.0000,Air Bank a.s.,22,Muž,1,37,50,1,1,1550,0
79201,25000,10000.0000,"MONETA Money Bank, a.s.",23,Muž,1,213,93,0,1,350,0
16200,21000,9000.0000,"Česká spořitelna, a.s.",31,Muž,1,37,89,0,1,1600,0
73601,12200,10000.0000,"UniCredit Bank Czech Republic and Slovakia, a.s.",68,Žena,1,193,94,0,1,2900,1
75002,16500,2000.0000,"Česká spořitelna, a.s.",21,Žena,0,193,90,0,1,600,0
73601,38000,10000.0000,"Komerční banka, a.s.",33,Muž,1,193,19,1,1,1750,0
56301,25000,10000.0000,Raiffeisenbank a.s.,43,Žena,1,80,88,0,1,1750,0
66471,26000,10000.0000,"MONETA Money Bank, a.s.",27,Muž,0,83,67,0,1,1900,0
78501,20000,8000.0000,Equa bank a.s.,25,Žena,1,88,34,0,1,700,0
69110,20000,10000.0000,"Česká spořitelna, a.s.",29,Žena,0,194,36,0,1,550,0
58252,21000,5000.0000,Equa bank a.s.,39,Muž,0,213,70,1,1,2450,0
70800,7000,10000.0000,"Fio banka, a.s.",24,Žena,1,193,85,0,1,1400,0
75701,25000,5000.0000,Equa bank a.s.,38,Muž,0,213,93,0,1,1100,0
41742,30000,8000.0000,"Česká spořitelna, a.s.",27,Muž,1,188,45,1,1,300,0
50002,30000,10000.0000,Raiffeisenbank a.s.,48,Muž,1,93,89,1,1,1800,1
25002,20000,2000.0000,"Česká spořitelna, a.s.",18,Žena,1,109,38,0,1,0,0
47127,27000,3000.0000,"MONETA Money Bank, a.s.",26,Muž,1,37,92,0,1,1650,0
19000,20000,2000.0000,"Česká spořitelna, a.s.",19,Muž,1,46,75,0,1,0,0
19800,8890,2000.0000,Air Bank a.s.,52,Žena,0,94,24,0,1,1050,0
25073,30000,10000.0000,Air Bank a.s.,35,Muž,1,89,15,1,2,350,1
41118,15000,10000.0000,Raiffeisenbank a.s.,19,Žena,1,195,42,0,1,0,0
74258,20000,3000.0000,"Komerční banka, a.s.",50,Žena,0,85,95,0,1,2150,0
